framework,prompt
utilitarianism,A good policy should choose the option that creates the largest total benefit across the affected population.
utilitarianism,"When resources are limited, the best decision is the one that improves the well-being of the greatest number of people."
utilitarianism,A decision is justified when its overall positive consequences outweigh its harms for society as a whole.
utilitarianism,The preferred policy is the one that produces the highest net social benefit.
utilitarianism,A government should choose the option that leads to the greatest aggregate improvement in people's lives.
utilitarianism,The strongest policy is the one that reduces total suffering and increases total welfare the most.
utilitarianism,A public decision should be judged by its consequences for the whole population.
utilitarianism,The right choice is the one with the best overall outcome after considering benefits and harms.
utilitarianism,Policy makers should compare alternatives by estimating which one produces the greatest total improvement.
utilitarianism,An action is preferable when it produces the most beneficial consequences overall.
justice_as_fairness,A good policy should protect those who are most disadvantaged by the current system.
justice_as_fairness,"When benefits cannot reach everyone equally, priority should go to people with the greatest need."
justice_as_fairness,A decision is justified when it improves the position of groups who face structural disadvantage.
justice_as_fairness,The preferred policy is the one that distributes opportunities in a more equitable way.
justice_as_fairness,A public decision should reduce unfair gaps between advantaged and disadvantaged groups.
justice_as_fairness,Policy makers should design institutions so that vulnerable groups are not left behind.
justice_as_fairness,The strongest policy is the one that makes social cooperation fairer for people with fewer resources.
justice_as_fairness,A just decision gives special attention to people who would otherwise receive the least benefit.
justice_as_fairness,The right choice is the one that makes the basic structure of society more equitable.
justice_as_fairness,A policy should be assessed by how it affects people who are worst off under existing arrangements.
categorical_imperative,A good policy should follow a rule that could be applied consistently to everyone.
categorical_imperative,A decision is justified when it respects persons rather than treating them merely as tools.
categorical_imperative,The preferred policy is the one that follows a principle that can be universalized.
categorical_imperative,A public decision should respect human dignity even when doing so is costly.
categorical_imperative,Policy makers should choose rules that they could rationally will for all similar cases.
categorical_imperative,The right choice is the one that respects moral duties and does not sacrifice individuals as means.
categorical_imperative,A policy should not depend on exceptions that only benefit one group while denying the same rule to others.
categorical_imperative,A good decision protects the moral status of each person affected by the policy.
categorical_imperative,The strongest policy is the one grounded in a consistent rule rather than convenience.
categorical_imperative,"Public action should respect each individual as having worth, not only as part of an aggregate outcome."
